name,ruc,address,phone,email,contact_name,contact_phone,contact_email,created_by,created_at,updated_by,updated_at
CONSORCIO MINERO HORIZONTE S.A.,20136150473,JR. CRANE NRO. 102 INT. 5-6 URB. JACARANDA (ALT. CDRA. 35 AV. JAVIER PRADO ESTE) LIMA - LIMA - SAN BORJA,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
BELLAVISTA S.A.C.,20482224556,JR. MARAÑON 162 - URB. EL MOLINO - TRUJILLO,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
UNIDAD MINERA RAURA-MINSUR,21544444,NBBBB,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
MINERA SULLIDEN SHAHUINDO S.A.C.,205057792042,CAL. SAN MARTIN Nº 845 DPTO 201 (PISO 2) LIMA MIRAFLORES,01652500 / 016512502,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
LA ARENA S.A.,20205467603,CAL. ESQUILACHE NRO. 371 (ALTURA CUADRA 10 AV. CAMINO REAL) LIMA - SAN ISIDRO,6259900,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
GRAYSIL CONTRATISTAS S.A.C.,20535943363,CAL.32 MZA. P2 LOTE. 22 ASOC HIJOS DE APURIMAC 5T (C.C REAL PLAZA MOTOS APURIMAC)LIMA - LIMA - ATE,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
B&A CONTRATISTAS & TRANSPORTES GENERALES SRL,20397513212,AV. RICARDO PALMA 805 - URB SANTO DOMINGUITO - TRUJILLO - LA LIBERTAD,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
CRISTO POBRE INGENIEROS S.R.L.,20570663349,CAL.JOSE LUIS OBREGOSO NRO. S/N C.P. ARAQUEDA -  CACHACHI - CAJABAMBA,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
MINERA COLQUISIRI S.A.,20107290177,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
CESAR WILLIAN MUÑOZ DIAZ,10188730782,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
HIELOSNORTE S.A.C.,20439200490,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
SERVICIOS GENERALES MALABRIGO SRL,20440346899,CAL.BOLIVAR NRO. 203 PTO. RAZURI LA LIBERTAD - ASCOPE - RAZURI,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
FJC INGENIERIA DE PROYECTOS Y MONTAJES EIRL,20600729510,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
MECANICA FINA INDUSTRIAL EIRL,..,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
LA ARENA ANDINA CONSTRUCTORES E.I.R.L.,0101010101,..,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
SEGURIDAD INTEGRAL PROFESIONAL Y ESPECIALIZADA SAC,20559801446,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
GRUPO ARTEGO S.R.L.,20539719620,AV. EJERCITO NRO. 1154 DPTO. 6 BARR. EL MOLINO LA LIBERTAD - TRUJILLO,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
AUTOREPUESTOS & FERRETERIA SANTO TOMAS S.A.C.,20481609136,AV. CESAR VALLEJO N° 812 - TRUJILLO,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
ELJY S.A.C.,20481516804,JR. SANCHEZ CARRION NRO. 1182 LA LIBERTAD - SANCHEZ CARRION - HUAMACHUCO,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
CENTRO MEDICO GALENO MEDICAL E.I.R.L.,20477604961,AV. CESAR VALLEJO 348 -CHAO - VIRU,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
GALVEC PERU S.A.C,20548765561,AV. MARISCAL LA MAR NRO. 638 DPTO. 705 URB. SANTA CRUZ LIMA - LIMA - MIRAFLORES,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
SOLDAJEC EIRL,20602920802,CAL. RICARDO PALMA MZ 54 LTE 3 - RAZURI,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
CRS LEON INGENIEROS E.I.R.L.,20559522725,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
MARCO PERUANA S A,20100006538,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
INVERSIONES JPKP S.A.C.,20601819270,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
CONTRATISTAS Y SERVICIOS GENERALES CAFADE S.A.C.,20571531489,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
EL KEBIR S.A.C.,20477259929,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
COMPAÑIA MAGISTRAL S.A.C,20195023418,AV. SAN BORJA NORTE NRO. 523 LIMA - LIMA - SAN BORJA,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
EMPRESA DE TRANSPORTES NUEVO CALIFORNIA S.A.,20132051675,VIA DE EVITAMIENTO BS.AS. MZA. J LOTE. 3 URB. LOS SAUCES (LOTES DEL 3 AL 13) LA LIBERTAD - TRUJILLO - VICTOR LARCO HERRERA,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
SERVICIOS Y CONTRATISTAS GENERALES M&E S.A.C.,20481964033,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
COMPAÑIA MINERA CARAVELI S.A.C.,20126702737,AV. PABLO CARRIQUIRRY Nº691 - URB. EL PALOMAR SAN ISIDRO,01-4766863,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
COMPAÑIA MINERA PODEROSA S.A.,012222,GGGG,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
OBRAS DE INGENIERIA S.A.C.,20501439020,AV. EMILIO CAVENECIA NRO. 225 INT. 111 URB. SANTA CRUZ - SAN ISIDRO - LIMA,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
MINERA AURIFERA RETAMAS S.A.,20132367800,AV. LA MARINA NRO. 480 URB. STA MARIA III ETAPA - TRUJILLO,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
EMPRESA DE TRANSPORTES LA MAMITA SAC,20480927304,CAL. DANIEL HOYLE 430 DPTO 106 URB. EL INGENIO,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
HORIZONTE MEDIC CONSULTING S.A.C,20539739060,MZA.C - 14 LOTE. 29 URB. MANUEL AREVALO LA LIBERTAD - TRUJILLO,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
MINERA BOROO MISQUICHILCA S.A.,20209133394,AV. MANUEL OLGUIN NRO. 375 (PISO 11) LIMA - LIMA - SANTIAGO DE SURCO,6124100,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
MINERA VETA DORADA S.A.C.,20536126440,CALLE LOS LIBERTADORES 557 - SAN ISIDRO - LIMA,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
SALVATIERRA GUSTAVSON JUAN AUGUSTO,1018872489,MALABRIGO,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
SISTEMAS DE SEGURIDAD INTEGRAL EIRL,20600187822,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
HIDRANDINA S.A.,20132023540,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
SERVICIOS GENERALES ADONAI JIREH S.A.C.,20602930891,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
L&S SERVICIOS PROFESIONALES E.I.R.L.,20510454325,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
FERVAGER S.A.C.,20481475857,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
SERVICIOS GENERALES RODRIGUEZ R S.A.C.,20481372535,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
SCONCI S.A.C.,20539912039,MZA. A1 LOTE. 8 URB. LOS CEDROS LA LIBERTAD - TRUJILLO - TRUJILLO,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
VEOLIA SERVICIOS PERU SAC,22222,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
ARGEA GAMA CONSULTORES Y EJECUTORES SAC,0000000000000000000,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
UNIDAD MINERA SHAHUINDO S.A.,...,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
EMPRESA DE TRANSPORTES TARRILLO E.I.R.L.,20481092681,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
STISAC,.,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
A&N COMPANY S.A.C.,20481828016,MZ B LT 14 SECTOR VILLA DEL MAR,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
SOLMAR SECURITY S.A.C.,20445414833,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
CONSORCIO FLORENCIA,....,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
SERVICIOS GENERALES JOVARSAA E.I.R.L.,20603574207,MZA. L LOTE. 12 INT. PIS3 A.H. JOSE BOTTERIN - CALLAO,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
COMPAÑIA MINERA LOS ANDES PERU GOLD S.A.C.,20601432278,CAL.FRANCISCO DE CUELLAR NRO. 191 URB. LAS FLORES DE MONTERRICO LIMA - LIMA - SANTIAGO DE SURCO,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
INVERSIONES Y SERVICIOS GENERALES AISLAPOL S.A.C.,20532064253,MZ K LTE 2 URB. EL ACERO ANCASH - CHIMBOTE,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
TRANSPORTES Y SERVICIOS LECCA E.I.R.L.,20481660832,CALLE LA PIZLAZULI MZ. 59 LOTE 5 URB. LA RINCONADA - TRUJILLO,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
SERVICIOS GENERALES CRISMAR PERU E.I.R.L.,20601067405,SAENZ PEÑA MZ. 77 LT.6 - PTO. MALABRIGO,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
T&D ELECTRIC S.A.C.,20492952436,JR. SAN ERNESTO MZ.2A LT.1D URB. SANTA LUISA III ETAPA. LOS OLIVOS-LIMA-PERU,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
TERMOAUTOMATICA SERVICIOS GENERALES E.I.R.L.,20480861796,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
HOUSE BUSSINES S.A.C.,20452477671,AV. LOS ANGELES N°390 INT. 604 URB. CALIFORNIA,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
CONSORCIO SOL NACIENTE,00000022222,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
CONSORCIO VIRGEN DE LA PUERTA,.-,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
INMOBILIARIA Y CONSTRUCCION ALBERA E.I.R.L.,20490273205,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
CRUZVAL SERVICIOS GENERALES S.A.C.,20477534814,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
DIOS MI PROVEEDOR E.I.R.L,20539912896,CAL.LIMA 334 PTO. MALABRIGO,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
COANSA DEL PERU INGENIEROS SAC,8888,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
CIA. OPERADORA DE GAS DEL AMAZONAS S.A.C.,20500854651,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
PESQUERA HAYDUK S.A.,20136165667,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
MULTI SERVICE ROD&GALPA S.R.L.,20396579619,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
CORPORACION PIR S.A.C.,20477408517,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
TRANSPORTES & SERVICIOS MELVIN E.I.R.L.,20477701737,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
EMPRESA DE TRANSPORTES HUANCHACO S.A.,20131677457,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
PROSEGURIDAD S.A.,20101155588,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
IMPEX M&V S.A.C.,20477268596,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
CONSORCIO UNACH CAJAMARCA,20603591926,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
EMFAC CONTRATISTAS GENERALES S.A.C.,20523151151,MZ D LT 16 URB RESIDENCIAL ALAMDA DEL NORTE-CARABAYLLO-LIMA,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
EMPRESA CONTRATISTA DE OBRAS DE INFRAESTRUCTURA Y SANEAMIENTO S.A.C.,20559954943,CAL.SANTA ROSA MZA. B LOTE. 19 URB. ALTO MOCHICA II (RESTAURANT CAMPO MAR),,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
SERVICIOS MULTIPLES DE PROYECTOS INDUSTRIALES S.R.L.,20559509460,CAL.HUASCAR NRO. 30 INT. 2PIS CARTAVIO (POR EL COMPLEJO VICTOR RAUL HAYA) LA LIBERTAD - ASCOPE - SANTIAGO DE CAO,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
TRANSPORTES Y TURISMO RUIZ E.I.R.L.,20482405933,CAL.10 MZA. L LOTE. 6 URB. TRUPAL (A 100 MTS DE NAZARETH Y ANTENOR ORREGO),,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
CEMENTOS PACASMAYO S.A.A,20419387658,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
MORIKEL CONTRATISTAS GENERALES S.R.L.,20559698416,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
MAYKEN PERU S.A.C.,20601047986,JR. LOS TERRAZOS MZA. H LOTE. 25 URB. SAN CARLOS LIMA - LIMA - SAN JUAN DE LURIGANCHO,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
ORAZUL ENERGY PERU S.A.,20601605385,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
KALLPA GENERACION S.A.,20538810682,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
SERVICIOS GENERALES HERMANOS CUMPLIDO S.A.C.,20604004820,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
PESQUERA DIAMANTE S.A.,20159473148,CAL.AMADOR MERINO REYNA NRO. 307 (EDIFICIO NACIONAL PISO 12 Y 13) LIMA - LIMA - SAN ISIDRO,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
MULTISERVICIOS APLE PERU S.A.C.,20600841417,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
CORPORACION CONSULTING EDSUR S.A.C.,20601114870,JR. WASHINGTON NRO. 1308 DPTO. 802 CERCADO DE LIMA- LIMA DE LIMA-,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
CONSTRUCTORA LUCECITA DE AMERICA S.A.C.,20603123523,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
TECH ENERGY S.A.C.,20549367535,JR. QUISPE ANGEL NRO. 550 A.H. VILLA SR DE LOS MILAGROS PROV. CONST. DEL CALLAO,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
SERVICIOS Y CONTRATISTAS GENERALES SERTEC ELECTRIC S.A.C.,20482608532,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
SERKON S.A.C.,20602231713,PJ. LAS PALMERAS SEGUNDO PISO MZA. I LOTE. 18 LA LIBERTAD - TRUJILLO - VICTOR LARCO HERRERA,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
BK CONSTRUCCIONES S.A.C.,20521598736,AV. AVIACION NRO. 3307 URB. LAS MAGNOLIAS (2DO PISO) LIMA - LIMA - SAN BORJA,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
EMPRESA DE SERVICIOS TIBURON S.A.C.,20482824740,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
PROSEGUR TECNOLOGIA PERU S.A.,20514431281,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
ARMETALMOC S.A.C.,20554269967,PJ. CESAR VALLEJO MZA. E LOTE. 14 P.J. HUERTA SANTA ROSA LIMA - LIMA - RIMAC,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
SUMMA GOLD CORPORATION S.A.C.,20522025071,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
INVERSIONES KAROSA E.I.R.L.,20540037656,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
MIRANDA MENDOZA KEVIN ROY,10712032371,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
"SANEAMIENTO, BÚSQUEDA Y CONSTRUCCIÓN S.A.C.",20605154078,JR. VICTORIA VASQUEZ NRO. 345 INT. 2 VICTORIA VASQUEZ SAN MARTIN - SAN MARTIN - TARAPOTO,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
FINANCIERA PROEMPRESA S.A.,20348067053,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
MARIN RIOS CONSTRUCTORES S.A.C.,20540036412,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
PROTECCION Y RESGUARDO S.A.,20100717124,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
METALES INGENIERIA Y CONSTRUCCION S.A.C.,20300166611,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
CAPINSE E.I.R.L.,20601647169,CAL.GUZMAN BARRON NRO. 662 URB. SANTO DOMINGUITO LA LIBERTAD - TRUJILLO,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
PANDERO S.A. EAFC,20100115663,AV. DOS DE MAYO NRO. 382 URB. ORRANTIA (CDRA 3 Y 4 J. PRADO OESTE) LIMA - LIMA - SAN ISIDRO,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
R & M SERVICIO DE CONSULTORIA TRIBUTARIA EMPRESARIAL & CONSTRUCTORA S.A.C.,20539893492,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
CONSORCIO ARAQUI S.A.C,20600637101,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
F&R SIALER PROYECTOS Y OBRAS S.A.C.,20604261580,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
EPOGROUND E.I.R.L.,20603709633,LUIS ALBRETCH P-102 - TRUJILLO- LA LIBERTAD,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
CENTRO DE REHABILITACIÓN PROFESIONAL FISIOPALMER S.A.C.,20601651603,AV. AMERICA NORTE NRO. 2272 URB. PRIMAVERA LA LIBERTAD - TRUJILLO - TRUJILLO,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
CONSTRUCTORA FRANCO & HNOS S.A.C,20482617019,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
MULTISERVICIOS ARICRIS E.I.R.L.,20560151161,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
ESTRUCTURAS INDUSTRIALES EGA S.A.,20100369509,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
EXPLORACION & TRANSPORTES GENERALES HERMYN S.A.C.,20482726900,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
INVERSIONES & TRANSPORTES MINERAS ALTO CHICAMA PERU S.A.C.,20477425101,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
SYR INGENIERIA TOTAL S.A.C.,20482206141,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
ASC OUTSOURCING SOCIEDAD ANONIMA CERRADA,20517340503,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
COMUNIDAD CAMPESINA LA SOLEDAD.,2041081175,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
